Datazone,Population,Air.quality,Noise,Congestion,Road.Repairs,Road.Safety,Hassle.Costs,Physical.Activity,Excess.Cold,Excess.Heat,Dampness,Diet.Change,Total,,£ millions total
N20000240,348,0.29,0.06,0.06,0.04,0.01,-0.27,0.10,0.06,0.00,0.01,0.23,0.58,,
N20000241,291,0.24,0.05,0.05,0.03,0.01,-0.23,0.07,0.05,0.00,0.01,0.19,0.46,,
N20000242,451,0.38,0.08,0.08,0.05,0.01,-0.35,0.15,0.07,0.00,0.01,0.30,0.72,,
N20000243,354,0.29,0.06,0.07,0.04,0.01,-0.27,0.08,0.06,0.00,0.01,0.23,0.55,,
N20000244,692,0.57,0.17,0.11,0.07,0.02,-0.54,0.13,0.13,0.00,0.01,0.45,1.13,,
N20000245,398,0.33,0.09,0.07,0.04,0.01,-0.31,0.09,0.07,0.00,0.01,0.26,0.64,,
N20000246,544,0.45,0.08,0.09,0.06,0.01,-0.42,0.12,0.10,0.00,0.01,0.36,0.83,,
N20000247,457,0.38,0.08,0.08,0.05,0.01,-0.35,0.10,0.08,0.00,0.01,0.30,0.70,,
N20000248,270,0.22,0.06,0.04,0.03,0.01,-0.21,0.00,0.02,0.00,0.01,0.18,0.34,,
N20000249,353,0.29,0.07,0.06,0.04,0.01,-0.27,0.01,0.02,0.00,0.01,0.23,0.46,,
N20000250,390,0.32,0.11,0.06,0.04,0.01,-0.30,0.01,0.02,0.00,0.01,0.25,0.52,,
N20000251,714,0.59,0.19,0.12,0.08,0.02,-0.55,0.04,0.05,0.00,0.02,0.46,0.98,,
N20000252,449,0.37,0.05,0.08,0.05,0.01,-0.35,0.03,0.03,0.00,0.01,0.29,0.56,,
N20000253,618,0.51,0.15,0.11,0.07,0.01,-0.48,0.09,0.04,0.00,0.02,0.41,0.87,,
N20000254,500,0.41,0.12,0.08,0.05,0.01,-0.39,0.01,0.03,0.00,0.01,0.33,0.64,,
N20000255,545,0.45,0.08,0.09,0.06,0.01,-0.42,0.02,0.03,0.00,0.01,0.35,0.69,,
N20000256,561,0.46,0.17,0.10,0.06,0.01,-0.44,0.13,0.04,0.00,0.02,0.37,0.86,,
N20000257,308,0.26,0.08,0.05,0.03,0.01,-0.24,0.01,0.02,0.00,0.01,0.20,0.44,,
N20000258,516,0.43,0.12,0.07,0.05,0.01,-0.40,0.01,0.03,0.00,0.01,0.34,0.69,,
N20000259,588,0.49,0.14,0.10,0.06,0.01,-0.46,0.14,0.05,0.00,0.02,0.39,0.91,,
N20000260,652,0.55,0.15,0.10,0.07,0.02,-0.51,0.06,0.04,0.00,0.02,0.43,0.87,,
N20000261,893,0.74,0.21,0.13,0.09,0.02,-0.69,0.02,0.05,0.00,0.02,0.58,1.19,,
N20000262,651,0.54,0.17,0.11,0.07,0.02,-0.51,0.02,0.04,0.00,0.02,0.42,0.88,,
N20000263,562,0.47,0.13,0.08,0.06,0.01,-0.44,0.01,0.03,0.00,0.01,0.37,0.74,,
N20000264,683,0.56,0.23,0.11,0.07,0.02,-0.53,0.01,0.04,0.00,0.02,0.44,0.93,,
N20000265,537,0.45,0.12,0.08,0.06,0.01,-0.42,0.11,0.03,0.00,0.01,0.35,0.82,,
N20000266,377,0.31,0.08,0.05,0.04,0.01,-0.29,0.03,0.02,0.00,0.01,0.25,0.49,,
N20000267,808,0.66,0.18,0.14,0.09,0.02,-0.62,0.15,0.04,0.00,0.02,0.53,1.15,,
N20000268,666,0.55,0.14,0.13,0.07,0.02,-0.51,0.02,0.04,0.00,0.02,0.43,0.89,,
N20000269,647,0.53,0.21,0.10,0.07,0.02,-0.50,0.01,0.04,0.00,0.02,0.42,0.88,,
N20000270,350,0.29,0.10,0.05,0.04,0.01,-0.27,0.00,0.02,0.00,0.01,0.23,0.47,,
N20000271,511,0.44,0.14,0.10,0.06,0.01,-0.40,0.01,0.03,0.00,0.01,0.34,0.71,,
N20000272,657,0.56,0.17,0.12,0.07,0.02,-0.52,0.02,0.03,0.00,0.02,0.44,0.91,,
N20000273,405,0.35,0.11,0.08,0.04,0.01,-0.32,0.01,0.02,0.00,0.01,0.27,0.56,,
N20000274,535,0.44,0.13,0.08,0.06,0.01,-0.41,0.02,0.03,0.00,0.01,0.35,0.74,,
N20000275,491,0.40,0.11,0.09,0.05,0.01,-0.38,0.04,0.03,0.00,0.01,0.32,0.66,,
N20000276,601,0.49,0.14,0.10,0.06,0.01,-0.46,0.02,0.03,0.00,0.01,0.39,0.79,,
N20000277,434,0.36,0.08,0.08,0.05,0.01,-0.34,0.02,0.02,0.00,0.01,0.28,0.58,,
N20000278,523,0.43,0.11,0.08,0.06,0.01,-0.40,0.02,0.03,0.00,0.01,0.34,0.67,,
N20000279,1333,1.14,0.32,0.22,0.14,0.03,-1.04,0.40,0.07,0.00,0.03,0.88,2.08,,
N20000280,657,0.55,0.15,0.10,0.07,0.02,-0.51,0.13,0.03,0.00,0.02,0.43,0.99,,
N20000281,667,0.55,0.16,0.10,0.07,0.02,-0.52,0.18,0.04,0.00,0.02,0.43,1.05,,
N20000282,429,0.36,0.09,0.06,0.05,0.01,-0.33,0.02,0.02,0.00,0.01,0.28,0.56,,
N20000283,749,0.62,0.06,0.12,0.08,0.02,-0.58,0.04,0.05,0.00,0.02,0.49,0.95,,
N20000284,616,0.51,0.06,0.11,0.07,0.01,-0.48,0.04,0.03,0.00,0.02,0.40,0.83,,
N20000285,650,0.54,0.15,0.09,0.07,0.02,-0.50,0.11,0.03,0.00,0.02,0.42,0.98,,
N20000286,520,0.43,0.06,0.09,0.06,0.01,-0.40,0.04,0.03,0.00,0.01,0.34,0.71,,
N20000287,738,0.64,0.07,0.13,0.08,0.02,-0.59,0.03,0.04,0.00,0.02,0.49,1.01,,
N20000288,480,0.40,0.05,0.09,0.05,0.01,-0.37,0.19,0.03,0.00,0.01,0.31,0.83,,
N20000289,356,0.30,0.04,0.07,0.04,0.01,-0.28,0.14,0.02,0.00,0.01,0.23,0.62,,
N20000290,299,0.25,0.07,0.04,0.03,0.01,-0.23,0.10,0.02,0.00,0.01,0.20,0.51,,
N20000291,317,0.27,0.04,0.06,0.03,0.01,-0.25,0.06,0.02,0.00,0.01,0.21,0.54,,
N20000292,562,0.57,0.08,0.12,0.08,0.02,-0.52,0.46,0.04,0.00,0.02,0.45,1.17,,
N20000293,534,0.57,0.06,0.12,0.07,0.02,-0.53,0.08,0.04,0.00,0.02,0.46,1.00,,
N20000294,726,0.61,0.07,0.13,0.08,0.02,-0.56,0.27,0.05,0.00,0.02,0.47,1.26,,
N20000295,701,0.73,0.17,0.18,0.10,0.02,-0.69,0.13,0.05,0.00,0.02,0.59,1.31,,
N20000296,555,0.48,0.13,0.11,0.06,0.01,-0.44,0.39,0.07,0.00,0.01,0.37,1.18,,
N20000297,638,0.53,0.13,0.11,0.07,0.02,-0.50,0.09,0.05,0.00,0.01,0.42,0.88,,
N20000298,664,0.55,0.16,0.12,0.07,0.02,-0.52,0.38,0.08,0.00,0.01,0.43,1.34,,
N20000299,544,0.46,0.13,0.10,0.06,0.01,-0.42,0.40,0.06,0.00,0.01,0.35,1.17,,
N20000300,486,0.41,0.12,0.08,0.05,0.01,-0.38,0.23,0.05,0.00,0.01,0.32,0.90,,
N20000301,715,0.59,0.17,0.12,0.08,0.02,-0.56,0.53,0.08,0.00,0.02,0.47,1.48,,
N20000302,770,0.64,0.10,0.14,0.08,0.02,-0.60,0.58,0.06,0.00,0.02,0.50,1.52,,
N20000303,670,0.55,0.13,0.13,0.07,0.02,-0.52,0.07,0.05,0.00,0.02,0.44,0.90,,
N20000304,508,0.52,0.13,0.11,0.07,0.01,-0.47,0.12,0.04,0.00,0.01,0.41,0.87,,
N20000305,568,0.48,0.13,0.09,0.06,0.01,-0.44,0.70,0.04,0.00,0.02,0.37,1.42,,
N20000306,536,0.44,0.08,0.10,0.06,0.01,-0.41,0.70,0.05,0.00,0.02,0.35,1.37,,
N20000307,416,0.36,0.10,0.07,0.05,0.01,-0.33,0.48,0.04,0.00,0.01,0.28,1.04,,
N20000308,437,0.36,0.08,0.08,0.05,0.01,-0.34,0.10,0.03,0.00,0.01,0.29,0.75,,
N20000309,682,0.57,0.11,0.12,0.07,0.02,-0.53,0.83,0.07,0.00,0.02,0.45,1.68,,
N20000310,440,0.37,0.10,0.07,0.05,0.01,-0.34,0.05,0.02,0.00,0.01,0.29,0.62,,
N20000311,519,0.46,0.13,0.09,0.06,0.01,-0.42,0.34,0.04,0.00,0.02,0.36,1.03,,
N20000312,696,0.57,0.23,0.11,0.07,0.02,-0.54,0.01,0.04,0.00,0.02,0.45,0.94,,
N20000313,437,0.36,0.13,0.07,0.05,0.01,-0.34,0.02,0.03,0.00,0.01,0.28,0.58,,
N20000314,355,0.29,0.08,0.06,0.04,0.01,-0.27,0.56,0.11,0.00,0.00,0.23,1.05,,
N20000315,512,0.42,0.09,0.09,0.05,0.01,-0.40,0.02,0.03,0.00,0.01,0.33,0.67,,
N20000316,498,0.41,0.08,0.10,0.05,0.01,-0.39,0.67,0.12,0.00,0.01,0.33,1.34,,
N20000317,711,0.59,0.11,0.12,0.08,0.02,-0.55,0.03,0.04,0.00,0.02,0.46,0.93,,
N20000318,528,0.44,0.07,0.10,0.06,0.01,-0.41,0.77,0.15,0.00,0.01,0.34,1.54,,
N20000319,260,0.21,0.07,0.05,0.03,0.01,-0.20,0.01,0.02,0.00,0.01,0.17,0.35,,
N20000320,509,0.42,0.09,0.09,0.05,0.01,-0.39,0.08,0.08,0.00,0.01,0.33,0.77,,
N20000321,328,0.27,0.05,0.06,0.03,0.01,-0.25,0.08,0.05,0.00,0.01,0.21,0.51,,
N20000322,474,0.39,0.09,0.09,0.05,0.01,-0.37,0.30,0.08,0.00,0.01,0.31,0.96,,
N20000323,231,0.19,0.03,0.04,0.02,0.01,-0.18,0.29,0.06,0.00,0.00,0.15,0.61,,
N20000324,362,0.30,0.05,0.07,0.04,0.01,-0.28,0.05,0.06,0.00,0.01,0.24,0.51,,
N20000325,410,0.34,0.05,0.08,0.04,0.01,-0.32,0.44,0.11,0.00,0.00,0.27,1.01,,
N20000326,530,0.44,0.08,0.11,0.06,0.01,-0.41,0.66,0.14,0.00,0.01,0.35,1.43,,
N20000327,541,0.45,0.08,0.10,0.06,0.01,-0.43,0.57,0.13,0.00,0.01,0.37,1.29,,
N20000328,325,0.27,0.02,0.07,0.03,0.01,-0.25,0.43,0.08,0.00,0.00,0.21,0.88,,
N20000329,808,0.68,0.14,0.16,0.09,0.02,-0.63,1.06,0.18,0.00,0.01,0.53,2.27,,
N20000330,562,0.46,0.09,0.11,0.06,0.01,-0.43,0.78,0.14,0.00,0.01,0.37,1.52,,
N20000331,573,0.47,0.08,0.11,0.06,0.01,-0.44,0.75,0.16,0.00,0.00,0.37,1.56,,
N20000332,499,0.41,0.11,0.08,0.05,0.01,-0.39,0.15,0.03,0.00,0.01,0.33,0.83,,
N20000333,489,0.40,0.10,0.09,0.05,0.01,-0.38,0.03,0.03,0.00,0.01,0.32,0.64,,
N20000334,570,0.47,0.16,0.11,0.06,0.01,-0.44,0.09,0.04,0.00,0.02,0.37,0.91,,
N20000335,389,0.32,0.09,0.06,0.04,0.01,-0.30,0.04,0.03,0.00,0.01,0.25,0.53,,
N20000336,465,0.38,0.11,0.08,0.05,0.01,-0.36,0.01,0.03,0.00,0.01,0.30,0.65,,
N20000337,481,0.39,0.16,0.07,0.05,0.01,-0.37,0.01,0.03,0.00,0.01,0.31,0.67,,
N20000338,406,0.34,0.10,0.07,0.04,0.01,-0.31,0.48,0.04,0.00,0.01,0.26,1.02,,
N20000339,561,0.47,0.14,0.09,0.06,0.01,-0.44,0.17,0.04,0.00,0.02,0.37,0.98,,
N20000340,543,0.46,0.13,0.09,0.06,0.01,-0.43,0.74,0.05,0.00,0.02,0.36,1.49,,
N20000341,678,0.57,0.16,0.10,0.07,0.02,-0.53,0.18,0.05,0.00,0.02,0.45,1.11,,
N20000342,416,0.36,0.10,0.07,0.05,0.01,-0.33,0.28,0.04,0.00,0.01,0.28,0.83,,
N20000343,671,0.57,0.16,0.11,0.07,0.02,-0.53,0.66,0.06,0.00,0.02,0.44,1.60,,
N20000344,583,0.49,0.13,0.09,0.06,0.01,-0.46,0.05,0.04,0.00,0.01,0.38,0.80,,
N20000345,571,0.48,0.13,0.10,0.06,0.01,-0.45,0.15,0.06,0.00,0.01,0.38,0.93,,
N20000346,657,0.55,0.15,0.11,0.07,0.02,-0.51,0.09,0.04,0.00,0.02,0.43,0.92,,
N20000347,518,0.43,0.12,0.08,0.06,0.01,-0.40,0.38,0.04,0.00,0.01,0.34,1.03,,
N20000348,525,0.44,0.12,0.08,0.06,0.01,-0.41,0.36,0.04,0.00,0.02,0.35,1.03,,
N20000349,470,0.39,0.11,0.07,0.05,0.01,-0.36,0.01,0.03,0.00,0.01,0.31,0.64,,
N20000350,628,0.52,0.07,0.10,0.07,0.02,-0.49,0.03,0.04,0.00,0.02,0.41,0.83,,
N20000351,431,0.36,0.10,0.06,0.05,0.01,-0.33,0.13,0.02,0.00,0.01,0.28,0.69,,
N20000352,580,0.48,0.06,0.10,0.06,0.01,-0.45,0.12,0.03,0.00,0.02,0.38,0.84,,
N20000353,512,0.43,0.12,0.08,0.05,0.01,-0.40,0.09,0.02,0.00,0.01,0.33,0.77,,
N20000354,736,0.61,0.17,0.11,0.08,0.02,-0.57,0.07,0.05,0.00,0.02,0.48,0.97,,
N20000355,527,0.44,0.12,0.08,0.06,0.01,-0.41,0.02,0.03,0.00,0.01,0.34,0.70,,
N20000356,701,0.59,0.17,0.12,0.07,0.02,-0.55,0.06,0.05,0.00,0.02,0.46,1.01,,
N20000357,392,0.33,0.09,0.06,0.04,0.01,-0.30,0.01,0.02,0.00,0.01,0.26,0.53,,
N20000358,562,0.47,0.13,0.09,0.06,0.01,-0.44,0.05,0.04,0.00,0.01,0.37,0.79,,
N20000359,555,0.47,0.13,0.10,0.06,0.01,-0.44,0.13,0.09,0.00,0.01,0.37,0.88,,
N20000360,403,0.33,0.09,0.06,0.04,0.01,-0.31,0.02,0.02,0.00,0.01,0.26,0.54,,
N20000361,669,0.56,0.16,0.12,0.07,0.02,-0.52,0.10,0.05,0.00,0.02,0.44,0.98,,
N20000362,648,0.54,0.15,0.10,0.07,0.02,-0.50,0.03,0.04,0.00,0.02,0.42,0.89,,
N20000363,490,0.41,0.11,0.08,0.05,0.01,-0.39,0.03,0.03,0.00,0.01,0.32,0.66,,
N20000364,559,0.46,0.13,0.09,0.06,0.01,-0.43,0.00,0.03,0.00,0.01,0.36,0.71,,
N20000365,539,0.44,0.16,0.09,0.06,0.01,-0.42,0.02,0.03,0.00,0.01,0.35,0.72,,
N20000366,467,0.39,0.11,0.07,0.05,0.01,-0.37,0.02,0.03,0.00,0.01,0.31,0.63,,
N20000367,597,0.50,0.14,0.10,0.06,0.01,-0.47,0.05,0.04,0.00,0.01,0.39,0.84,,
N20000368,668,0.56,0.16,0.11,0.07,0.02,-0.52,0.70,0.04,0.00,0.02,0.44,1.45,,
N20000369,655,0.55,0.15,0.11,0.07,0.02,-0.51,0.11,0.11,0.00,0.01,0.43,0.96,,
N20000370,415,0.34,0.10,0.08,0.04,0.01,-0.32,0.02,0.02,0.00,0.01,0.27,0.56,,
N20000371,609,0.50,0.17,0.12,0.06,0.01,-0.47,0.04,0.04,0.00,0.02,0.40,0.87,,
N20000372,652,0.54,0.16,0.12,0.07,0.02,-0.51,0.39,0.09,0.00,0.01,0.43,1.31,,
N20000373,580,0.48,0.12,0.10,0.06,0.01,-0.45,0.11,0.03,0.00,0.01,0.38,0.81,,
N20000374,366,0.30,0.04,0.07,0.04,0.01,-0.28,0.04,0.07,0.00,0.01,0.24,0.50,,
N20000375,324,0.27,0.06,0.06,0.03,0.01,-0.25,0.08,0.05,0.00,0.01,0.21,0.51,,
N20000376,277,0.23,0.04,0.05,0.03,0.01,-0.21,0.07,0.05,0.00,0.01,0.18,0.43,,
N20000377,473,0.39,0.14,0.09,0.05,0.01,-0.37,0.01,0.03,0.00,0.01,0.31,0.65,,
N20000378,409,0.34,0.05,0.07,0.04,0.01,-0.32,0.05,0.07,0.00,0.01,0.27,0.55,,
N20000379,657,0.54,0.17,0.11,0.07,0.02,-0.51,0.02,0.04,0.00,0.02,0.43,0.88,,
N20000380,387,0.32,0.09,0.06,0.04,0.01,-0.30,0.05,0.06,0.00,0.01,0.25,0.57,,
N20000381,576,0.49,0.16,0.09,0.06,0.01,-0.46,0.33,0.08,0.00,0.01,0.38,1.09,,
N20000382,591,0.49,0.14,0.10,0.06,0.01,-0.46,0.09,0.04,0.00,0.02,0.39,0.86,,
N20000383,655,0.54,0.13,0.11,0.07,0.02,-0.51,0.03,0.04,0.00,0.02,0.43,0.87,,
N20000384,650,0.54,0.07,0.12,0.07,0.02,-0.51,0.48,0.05,0.00,0.02,0.42,1.26,,
N20000385,344,0.29,0.07,0.06,0.04,0.01,-0.27,0.23,0.04,0.00,0.01,0.23,0.64,,
N20000386,437,0.36,0.08,0.08,0.05,0.01,-0.34,0.06,0.03,0.00,0.01,0.29,0.60,,
N20000387,293,0.25,0.05,0.05,0.03,0.01,-0.23,0.04,0.02,0.00,0.01,0.19,0.40,,
N20000388,383,0.31,0.11,0.07,0.04,0.01,-0.30,0.01,0.02,0.00,0.01,0.25,0.52,,
N20000389,701,0.57,0.19,0.12,0.07,0.02,-0.54,0.01,0.04,0.00,0.02,0.46,0.95,,
N20000390,437,0.36,0.15,0.08,0.05,0.01,-0.34,0.02,0.03,0.00,0.01,0.28,0.63,,
N20000391,275,0.23,0.08,0.05,0.03,0.01,-0.21,0.01,0.02,0.00,0.01,0.18,0.36,,
N20000392,536,0.44,0.18,0.08,0.06,0.01,-0.41,0.01,0.03,0.00,0.01,0.35,0.74,,
N20000393,460,0.38,0.15,0.09,0.05,0.01,-0.36,0.01,0.03,0.00,0.01,0.30,0.64,,
N20000394,310,0.26,0.08,0.05,0.03,0.01,-0.24,0.02,0.02,0.00,0.01,0.20,0.43,,
N20000395,542,0.45,0.10,0.09,0.06,0.01,-0.42,0.05,0.04,0.00,0.01,0.35,0.67,,
N20000396,430,0.35,0.10,0.08,0.05,0.01,-0.33,0.03,0.03,0.00,0.01,0.28,0.60,,
N20000397,716,0.58,0.20,0.13,0.08,0.02,-0.55,0.02,0.05,0.00,0.02,0.47,1.00,,
N20000398,457,0.38,0.10,0.08,0.05,0.01,-0.35,0.04,0.03,0.00,0.01,0.30,0.59,,
N20000399,442,0.36,0.09,0.08,0.05,0.01,-0.34,0.06,0.03,0.00,0.01,0.29,0.62,,
N20000400,458,0.38,0.10,0.08,0.05,0.01,-0.36,0.09,0.03,0.00,0.01,0.30,0.75,,
N20000401,635,0.53,0.14,0.09,0.07,0.02,-0.49,0.05,0.04,0.00,0.02,0.41,0.84,,
N20000402,787,0.65,0.17,0.13,0.08,0.02,-0.61,0.02,0.05,0.00,0.02,0.51,1.06,,
N20000403,460,0.38,0.08,0.08,0.05,0.01,-0.36,0.04,0.03,0.00,0.01,0.30,0.57,,
N20000404,629,0.52,0.10,0.10,0.07,0.02,-0.49,0.02,0.04,0.00,0.02,0.41,0.76,,
N20000405,494,0.40,0.16,0.08,0.05,0.01,-0.38,0.02,0.03,0.00,0.01,0.32,0.69,,
N20000406,293,0.24,0.07,0.05,0.03,0.01,-0.23,0.01,0.02,0.00,0.01,0.19,0.41,,
N20000407,403,0.33,0.09,0.07,0.04,0.01,-0.31,0.01,0.03,0.00,0.01,0.26,0.52,,
N20000408,321,0.27,0.07,0.05,0.03,0.01,-0.25,0.02,0.02,0.00,0.01,0.21,0.42,,
N20000409,238,0.20,0.06,0.04,0.03,0.01,-0.18,0.01,0.02,0.00,0.01,0.15,0.32,,
N20000410,353,0.29,0.09,0.06,0.04,0.01,-0.27,0.03,0.02,0.00,0.01,0.23,0.49,,
N20000411,526,0.43,0.13,0.09,0.06,0.01,-0.41,0.01,0.03,0.00,0.01,0.34,0.70,,
N20000412,524,0.43,0.11,0.08,0.06,0.01,-0.40,0.02,0.03,0.00,0.01,0.34,0.71,,
N20000413,707,0.58,0.13,0.12,0.08,0.02,-0.55,0.08,0.05,0.00,0.02,0.46,0.87,,
N20000414,472,0.39,0.13,0.07,0.05,0.01,-0.36,0.00,0.03,0.00,0.01,0.31,0.63,,
N20000415,445,0.36,0.13,0.08,0.05,0.01,-0.34,0.01,0.03,0.00,0.01,0.29,0.62,,
N20000416,641,0.53,0.15,0.09,0.07,0.02,-0.49,0.02,0.04,0.00,0.02,0.42,0.85,,
N20000417,579,0.47,0.16,0.10,0.06,0.01,-0.45,0.02,0.04,0.00,0.02,0.38,0.80,,
N20000418,714,0.59,0.15,0.11,0.08,0.02,-0.55,0.07,0.05,0.00,0.02,0.47,0.91,,
N20000419,484,0.40,0.11,0.07,0.05,0.01,-0.37,0.11,0.03,0.00,0.01,0.32,0.71,,
N20000420,473,0.39,0.09,0.08,0.05,0.01,-0.37,0.05,0.03,0.00,0.01,0.31,0.64,,
N20000421,712,0.59,0.15,0.11,0.08,0.02,-0.55,0.02,0.05,0.00,0.02,0.47,0.92,,
N20000422,796,0.66,0.18,0.12,0.08,0.02,-0.62,0.02,0.05,0.00,0.02,0.52,1.08,,
N20000423,778,0.65,0.17,0.12,0.08,0.02,-0.60,0.04,0.04,0.00,0.02,0.51,1.01,,
N20000424,794,0.66,0.18,0.14,0.08,0.02,-0.62,0.11,0.05,0.00,0.02,0.52,1.19,,
N20000425,318,0.26,0.08,0.05,0.03,0.01,-0.25,0.03,0.02,0.00,0.01,0.21,0.46,,
N20000426,550,0.45,0.13,0.09,0.06,0.01,-0.42,0.29,0.09,0.00,0.01,0.36,1.06,,
N20000427,591,0.48,0.13,0.10,0.06,0.01,-0.46,0.02,0.03,0.00,0.02,0.38,0.74,,
N20000428,854,0.70,0.21,0.14,0.09,0.02,-0.66,0.04,0.06,0.00,0.02,0.56,1.16,,
N20000429,368,0.30,0.09,0.06,0.04,0.01,-0.29,0.11,0.02,0.00,0.01,0.24,0.64,,
N20000430,454,0.38,0.06,0.08,0.05,0.01,-0.35,0.11,0.08,0.00,0.01,0.30,0.69,,
N20000431,520,0.43,0.16,0.08,0.06,0.01,-0.40,0.01,0.03,0.00,0.01,0.34,0.70,,
N20000432,576,0.47,0.18,0.10,0.06,0.01,-0.44,0.03,0.04,0.00,0.02,0.37,0.80,,
N20000433,719,0.59,0.22,0.13,0.08,0.02,-0.56,0.05,0.05,0.00,0.02,0.47,1.05,,
N20000434,613,0.51,0.08,0.11,0.07,0.01,-0.47,0.25,0.05,0.00,0.02,0.40,1.14,,
N20000435,699,0.58,0.13,0.12,0.07,0.02,-0.54,0.18,0.05,0.00,0.02,0.46,1.09,,
N20000436,481,0.39,0.13,0.08,0.05,0.01,-0.37,0.00,0.03,0.00,0.01,0.31,0.65,,
N20000437,368,0.30,0.10,0.06,0.04,0.01,-0.28,0.00,0.02,0.00,0.01,0.24,0.50,,
N20000438,363,0.30,0.09,0.06,0.04,0.01,-0.28,0.01,0.02,0.00,0.01,0.24,0.49,,
N20000439,457,0.38,0.08,0.08,0.05,0.01,-0.35,0.04,0.03,0.00,0.01,0.30,0.56,,
N20000440,406,0.34,0.10,0.07,0.04,0.01,-0.32,0.08,0.03,0.00,0.01,0.27,0.64,,
N20000441,448,0.37,0.09,0.08,0.05,0.01,-0.36,0.46,0.09,0.00,0.01,0.30,1.02,,
N20000442,471,0.39,0.11,0.09,0.05,0.01,-0.37,0.62,0.10,0.00,0.01,0.31,1.36,,
N20000443,443,0.39,0.11,0.08,0.05,0.01,-0.37,0.64,0.09,0.00,0.01,0.31,1.24,,
N20000444,408,0.34,0.09,0.07,0.04,0.01,-0.32,0.64,0.10,0.00,0.01,0.27,1.21,,
N20000445,520,0.44,0.10,0.09,0.06,0.01,-0.40,0.77,0.12,0.00,0.01,0.34,1.57,,
N20000446,667,0.55,0.15,0.12,0.07,0.02,-0.52,0.81,0.17,0.00,0.01,0.43,1.75,,
N20000447,520,0.45,0.11,0.10,0.06,0.01,-0.42,0.10,0.04,0.00,0.01,0.35,0.88,,
N20000448,582,0.50,0.11,0.10,0.06,0.01,-0.47,0.69,0.10,0.00,0.01,0.40,1.45,,
N20000449,413,0.35,0.09,0.07,0.05,0.01,-0.33,0.46,0.09,0.00,0.01,0.28,1.06,,
N20000450,313,0.26,0.03,0.06,0.03,0.01,-0.24,0.07,0.06,0.00,0.01,0.21,0.47,,
N20000451,722,0.60,0.06,0.13,0.08,0.02,-0.56,0.35,0.14,0.00,0.01,0.47,1.33,,
N20000452,421,0.36,0.08,0.08,0.05,0.01,-0.33,0.28,0.08,0.00,0.01,0.28,0.92,,
N20000453,601,0.50,0.11,0.11,0.06,0.01,-0.47,0.51,0.12,0.00,0.01,0.40,1.32,,
N20000454,322,0.27,0.03,0.06,0.03,0.01,-0.25,0.07,0.06,0.00,0.01,0.21,0.50,,
N20000455,458,0.38,0.07,0.08,0.05,0.01,-0.35,0.64,0.11,0.00,0.01,0.30,1.23,,
N20000456,422,0.35,0.09,0.07,0.05,0.01,-0.33,0.10,0.07,0.00,0.01,0.28,0.65,,
N20000457,619,0.51,0.07,0.11,0.07,0.01,-0.48,0.07,0.11,0.00,0.01,0.40,0.85,,
N20000458,404,0.36,0.09,0.07,0.05,0.01,-0.33,0.28,0.07,0.00,0.01,0.28,0.85,,
N20000459,418,0.35,0.06,0.08,0.04,0.01,-0.33,0.09,0.08,0.00,0.01,0.27,0.65,,
N20000460,706,0.59,0.13,0.13,0.08,0.02,-0.55,0.13,0.06,0.00,0.02,0.46,1.02,,
N20000461,656,0.54,0.09,0.12,0.07,0.02,-0.51,0.13,0.12,0.00,0.01,0.43,1.01,,
N20000462,489,0.41,0.08,0.10,0.05,0.01,-0.39,0.17,0.04,0.00,0.01,0.33,0.84,,
N20000463,414,0.34,0.09,0.08,0.04,0.01,-0.32,0.28,0.02,0.00,0.01,0.27,0.75,,
N20000464,524,0.44,0.11,0.09,0.06,0.01,-0.41,0.36,0.04,0.00,0.01,0.34,0.98,,
N20000465,241,0.20,0.06,0.04,0.03,0.01,-0.19,0.23,0.06,0.00,0.00,0.16,0.55,,
N20000466,504,0.41,0.09,0.09,0.05,0.01,-0.39,0.33,0.03,0.00,0.01,0.33,0.92,,
N20000467,485,0.41,0.11,0.08,0.05,0.01,-0.38,0.08,0.09,0.00,0.01,0.32,0.72,,
N20000468,460,0.38,0.04,0.08,0.05,0.01,-0.36,0.11,0.08,0.00,0.01,0.30,0.70,,
N20000469,573,0.47,0.12,0.11,0.06,0.01,-0.44,0.10,0.03,0.00,0.02,0.37,0.81,,
N20000470,466,0.39,0.08,0.08,0.05,0.01,-0.36,0.11,0.08,0.00,0.01,0.30,0.74,,
N20000471,631,0.52,0.12,0.11,0.07,0.02,-0.49,0.71,0.17,0.00,0.01,0.41,1.55,,
N20000472,611,0.50,0.11,0.11,0.06,0.01,-0.47,0.62,0.16,0.00,0.01,0.40,1.44,,
N20000473,466,0.39,0.10,0.07,0.05,0.01,-0.37,0.24,0.09,0.00,0.01,0.31,0.91,,
N20000474,724,0.61,0.18,0.11,0.08,0.02,-0.56,1.21,0.19,0.00,0.01,0.48,2.25,,
N20000475,648,0.54,0.05,0.12,0.07,0.02,-0.50,0.88,0.16,0.00,0.01,0.42,1.72,,
N20000476,569,0.47,0.14,0.08,0.06,0.01,-0.44,0.16,0.03,0.00,0.01,0.37,0.91,,
N20000477,566,0.47,0.13,0.09,0.06,0.01,-0.45,0.57,0.04,0.00,0.02,0.38,1.24,,
N20000478,618,0.53,0.13,0.09,0.07,0.02,-0.51,0.88,0.15,0.00,0.01,0.43,1.78,,
